HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Homework,Quiz,Lab,Overall,Grade
92.5,85,92.5,100,100,93,91,90,75,12,95.83333333333333,83.33333333333333,75,70,66.4,80.1,83.00000000000001,88.99999999999999,93,84.72222222222221,100,89.45833333333334,A-
80,85,92.5,0,95,66,80.5,67.5,100,12,66.66666666666667,88.88888888888889,85,80,49.6,62.55,62,69.5,83.3125,84.62962962962963,100,77.46319444444444,C
0,77.5,100,80,100,90,80,0,65,12,87.5,94.44444444444444,75,85,34.4,69.3,43,77,74.0625,88.98148148148148,100,73.41597222222222,C
92.5,95,85,100,100,99,89,100,100,12,91.66666666666667,100,75,100,67.2,70.2,84,78,96.9375,97.22222222222223,100,89.96458333333334,A-
90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,89,85,96.125,100,100,92.8875,A
87.5,77.5,97.5,90,97,96,90,80,80,12,95.83333333333333,0,55,80,56,60.75,70,67.5,89.75,76.94444444444444,100,79.34166666666667,C+
92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,88.00000000000001,86.00000000000001,97.75,93.33333333333333,100,92.42500000000001,A
95,98,92.5,70,95,98,100,100,98,12,100,77.77777777777777,50,90,68.8,70.2,86,78,97.0625,89.25925925925925,100,89.20763888888888,A-
82,100,91.5,100,100,90,100,70,96,12,50,77.77777777777777,60,95,55.2,63.9,69,71,94.9375,77.5925925925926,100,81.67013888888889,B-
82.5,100,85,75,95,86,26,45,65,12,33.333333333333336,55.55555555555556,50,85,36.8,36,45.99999999999999,40,79.1875,63.51851851851851,100,62.48402777777777,C-
90,95,100,100,100,96,100,95,100,12,66.66666666666667,94.44444444444444,75,90,44.8,63,56,70,98.25,86.48148148148148,100,81.14722222222221,B-
87.5,77.5,100,80,85,99,100,100,85,11,66.66666666666667,55.55555555555556,25,60,38.4,40.95,48,45.50000000000001,92.0625,60.74074074074074,100,67.70486111111111,C-
74,100,85,90,90,96,86,90,98,12,91.66666666666667,77.77777777777777,75,90,60.8,76.05,76,84.5,91.875,86.48148148148148,100,86.85972222222222,B+
80,60,95,80,85,91,68,80,67.5,12,41.666666666666664,61.111111111111114,55,80,36.8,45,45.99999999999999,50,80.8125,65.37037037037037,100,65.74930555555555,C-
91.5,97,87.5,80,90,82,90,90,98,12,58.333333333333336,72.22222222222223,55,75,51.2,39.15,64,43.5,90.75,68.51851851851852,100,71.17777777777778,C
80,95,90,80,97.5,94,73,90,85,12,58.333333333333336,66.66666666666667,57.5,100,64.8,64.35,81,71.49999999999999,88.9375,75,100,82.00625,B
92.5,95,100,100,95,98,70,100,100,12,91.66666666666667,61.111111111111114,60,90,66.4,73.35,83.00000000000001,81.49999999999999,97.5625,80.92592592592592,100,88.38263888888889,A-
92.5,100,100,90,100,93,89,80,60,12,83.33333333333333,77.77777777777777,55,80,65.6,63.9,81.99999999999999,71,93.0625,80.37037037037037,100,84.12430555555557,B
80,77.5,70,65,100,97,100,75,85,12,58.333333333333336,55.55555555555556,25,40,56.8,34.2,71,38.00000000000001,85.5625,51.2962962962963,100,67.06319444444445,C-
80,0,92.5,90,90,79,0,70,51.5,12,91.66666666666667,88.88888888888889,0,100,75.2,68.85,94,76.49999999999999,69.125,93.51851851851852,100,82.69027777777778,B
0,10,47.5,0,90,0,56,40,75,7,54.166666666666664,27.77777777777778,30,80,43.2,31.5,54,35,39.8125,54.72222222222222,20,41.702083333333334,F
85,85,92.5,60,95,98,100,80,100,12,91.66666666666667,50,75,95,47.2,57.6,59,64,91.9375,87.22222222222223,100,78.46458333333334,C+
70,89,70,80,85,96,0,90,0,11,75,44.44444444444444,65,0,64,54.9,80,61,72.5,61.48148148148149,100,72.22222222222223,C
85,97.5,100,85,75,97,97,95,85,12,25,44.44444444444444,35,65,48.8,36.45,61,40.50000000000001,92.6875,48.14814814814815,100,67.35347222222222,C-
94.5,100,85,100,100,98,90,100,96,12,75,61.111111111111114,80,80,78.4,72,98.00000000000001,80,97.3125,78.33333333333333,100,90.54375,A
62.5,65,32.5,27.5,0,79,79,75,94,12,91.66666666666667,33.333333333333336,25,55,44,54.9,55,61,64.3125,60,100,64.54375,C-
85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,59,73,90.75,96.66666666666667,100,81.77499999999999,B-
92.5,100,100,100,100,100,100,95,100,12,91.66666666666667,88.88888888888889,80,80,59.2,71.1,74,78.99999999999999,99.375,86.85185185185185,100,87.39027777777778,B+
92.5,100,100,100,95,90,100,95,85,12,100,88.88888888888889,80,80,76,74.25,95,82.5,96.5625,89.62962962962963,100,92.03819444444444,A
80,75,90,90,100,93,98,90,85,12,91.66666666666667,88.88888888888889,75,100,69.6,76.5,86.99999999999999,85,90.75,93.51851851851852,100,89.90277777777777,A-
92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.44444444444444,0,25,45.6,52.2,57,58,87.6875,39.81481481481482,60,64.17847222222221,C-
76,80,100,95,90,93,89,87.5,80,12,100,66.66666666666667,70,85,55.2,66.6,69,73.99999999999999,89.3125,85,100,81.84375,B-
82.5,85,92.5,95,90,100,100,100,80,12,66.66666666666667,55.55555555555556,85,0,62.4,47.25,78,52.5,93.125,69.07407407407408,100,77.02361111111111,C
77.5,62.5,97.5,80,0,83,100,75,70,11,66.66666666666667,44.44444444444444,70,80,67.2,69.3,84,77,80.6875,72.22222222222223,100,81.08958333333334,B-
77.5,100,100,100,100,99,92,100,98,12,91.66666666666667,100,90,100,76,85.5,95,95,98.625,97.22222222222223,100,96.92083333333333,A+
87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,94,78,89.875,100,100,90.2625,A
67.5,95,82.5,95,60,79,89,100,85,12,83.33333333333333,83.33333333333333,67.5,95,76.8,81.9,96,91.00000000000001,86.625,87.22222222222221,100,91.02083333333333,A
30,0,0,100,85,91,77,85,85,12,25,55.55555555555556,25,30,38.4,38.7,48,43.00000000000001,69.125,36.851851851851855,100,56.61527777777778,D
92.5,100,100,0,100,100,0,100,100,12,91.66666666666667,100,100,100,64,78.3,80,87,86.5625,100,100,88.71875,A-
82.5,0,95,100,95,99,100,100,100,9,75,72.22222222222223,80,95,70.4,75.6,88.00000000000001,83.99999999999999,96.4375,83.33333333333333,60,86.03125,B+
77.5,97.5,100,70,0,96,100,80,75,12,66.66666666666667,11.11111111111111,45,75,48.8,49.5,61,55,87,62.22222222222223,100,71.38333333333333,C
80,75,0,67.5,77.5,87,100,82.5,90,11,83.33333333333333,83.33333333333333,90,90,57.6,72.9,72,81.00000000000001,82.4375,87.77777777777777,100,82.54791666666667,B
0,85,80,75,100,78,0,90,0,12,91.66666666666667,38.888888888888886,75,0,58.4,37.35,73,41.5,63.5,68.51851851851852,100,64.30277777777778,C-
87.5,85,92.5,85,95,91,92,90,90,12,91.66666666666667,50,0,85,64,65.7,80,73,90.375,75.55555555555556,100,82.69583333333333,B
73.5,0,92.5,90,80,0,100,100,75,12,83.33333333333333,72.22222222222223,65,95,70.4,65.7,88.00000000000001,73,76.375,83.51851851851852,100,81.29027777777777,B-
79,95,92.5,65,72.5,91,100,0,76,11,33.333333333333336,77.77777777777777,95,95,59.2,75.6,74,83.99999999999999,83.875,89.25925925925925,100,84.35138888888888,B
0,0,0,42.5,0,0,0,0,0,10,58.333333333333336,0,0,0,42.4,35.55,53,39.49999999999999,5.3125,19.444444444444446,80,32.985416666666666,F
100,97.5,100,90,100,99,100,100,100,12,100,77.77777777777777,90,95,69.6,84.6,86.99999999999999,94,99.5625,95,100,95.01875,A+
92.5,95,100,0,100,93,90,85,100,12,83.33333333333333,100,70,80,65.6,80.55,81.99999999999999,89.5,94.4375,87.77777777777777,100,90.27291666666666,A
96,97.5,100,0,100,89,97,100,99,12,100,66.66666666666667,80,95,73.6,78.3,91.99999999999999,87,97.3125,91.66666666666667,100,93.09375,A
45,77.5,67.5,70,90,71,89,90,85,12,33.333333333333336,72.22222222222223,47.5,70,57.6,63.9,72,71,80,63.24074074074074,100,75.63611111111112,C
0,85,85,67.5,90,88,96,75,95,12,58.333333333333336,66.66666666666667,50,0,48.8,40.95,61,45.50000000000001,85.1875,58.333333333333336,100,67.88125000000001,C-
85,92.5,100,100,95,90,100,97.5,100,12,100,77.77777777777777,75,60,62.4,61.2,78,68,96.875,84.25925925925925,100,84.30138888888888,B
82.5,70,100,65,97,71,78,85,85,11,75,38.888888888888886,55,80,70.4,55.8,88.00000000000001,62,83.5625,70,100,78.66875,C+
92.5,92.5,100,80,95,97,97,95,80,12,83.33333333333333,55.55555555555556,75,90,57.6,54.9,72,61,93.625,82.77777777777777,100,80.15416666666667,B-
55,85,100,100,60,100,80,90,90,12,91.66666666666667,77.77777777777777,85,100,71.2,76.5,89,85,88.125,92.22222222222223,100,89.32083333333334,A-
92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.33333333333333,72.22222222222223,80,100,58.4,71.55,73,79.5,95.8125,87.77777777777777,100,86.38541666666666,B+
62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.22222222222223,57.5,75,55.2,50.4,69,56,89.4375,74.07407407407408,100,75.74236111111111,C
100,100,92.5,100,100,0,94,85,0,10,41.666666666666664,83.33333333333333,70,0,71.2,75.6,89,83.99999999999999,83.9375,65,80,81.73125,B-
87.5,92.5,100,90,87,96,94,95,70,12,95.83333333333333,83.33333333333333,70,15,64.8,42.3,81,47,92.75,83.05555555555556,100,78.23333333333333,C+
92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,81,98,99.5,100,100,95.55,A+
95,96,100,100,100,97,30,95,98,12,91.66666666666667,44.44444444444444,80,95,44,63.9,55,71,97.625,88.8888888888889,100,81.37083333333334,B-
77.5,95,97.5,80,100,94,99,100,85,12,83.33333333333333,88.88888888888889,60,100,60.8,72.9,76,81.00000000000001,93.8125,90.74074074074075,100,87.20486111111111,B+
88.5,97,100,90,100,99,97,100,85,12,66.66666666666667,88.88888888888889,95,65,57.6,72.9,72,81.00000000000001,96.4375,83.51851851851852,100,86.10902777777778,B+
72.5,62.5,100,99,100,0,0,100,99,10,91.66666666666667,83.33333333333333,0,85,62.4,78.75,78,87.5,79.125,86.66666666666667,80,82.2125,B
87,100,92.5,80,100,89,50,80,98,12,83.33333333333333,0,60,85,66.4,82.8,83.00000000000001,92,90.8125,76.1111111111111,100,88.26041666666667,A-
75,100,100,90,100,95,97,95,85,12,91.66666666666667,66.66666666666667,65,95,62.4,60.3,78,67,95.25,84.44444444444444,100,83.59166666666667,B
92.5,85,85,0,95,99,81,90,75,12,91.66666666666667,94.44444444444444,45,90,52.8,75.15,66,83.50000000000001,87.8125,92.03703703703702,100,84.22430555555556,B
84,100,87.5,70,100,97,100,90,100,12,83.33333333333333,61.111111111111114,95,80,42.4,55.35,53,61.5,94.8125,86.1111111111111,100,77.33541666666666,C
77.5,95,95,95,90,89,99,90,85,12,100,77.77777777777777,90,100,71.2,87.3,89,97,92.25,96.66666666666667,100,94.225,A
62.5,90,52.4,90,54,75,25,0,60,11,50,11.11111111111111,0,5,21.6,23.4,27,26,63.6125,22.037037037037038,100,44.28930555555555,F
80,85,85,90,72,95,92,100,60,12,79.16666666666667,72.22222222222223,55,90,65.6,65.7,81.99999999999999,73,87.375,80.46296296296298,100,82.93194444444444,B
0,62.5,10,55,66,0,0,60,30,7,75,0,15,40,32.8,29.25,40.99999999999999,32.5,35.4375,43.333333333333336,20,35.45625,F
87.5,85,100,100,95,90,100,90,80,12,100,83.33333333333333,65,95,49.6,62.1,62,69,93.4375,92.77777777777777,100,81.59791666666666,B-
77.5,95,75,100,100,90,97.5,95,100,12,100,88.88888888888889,95,85,56,73.8,70,82,94.375,94.62962962962963,100,87.00694444444444,B+
92.5,100,100,100,100,93,88,100,80,12,66.66666666666667,27.77777777777778,75,90,64.8,69.75,81,77.5,96.6875,77.22222222222223,100,86.16458333333333,B+
88.5,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77.4,85,86.00000000000001,99.875,96.66666666666667,100,92.9625,A
50,100,97.5,75,76.25,94,77,93.5,75,12,91.66666666666667,100,90,100,70.4,76.5,88.00000000000001,85,86.03125,97.22222222222223,100,89.24270833333334,A-
80,100,77.5,77.5,95,90,95,80,0,9,66.66666666666667,77.77777777777777,67.5,0,76,58.95,95,65.5,86.875,70.64814814814815,60,78.03472222222223,C+
77.5,90,100,100,90,95,97,100,100,12,75,77.77777777777777,80,90,64.8,59.85,81,66.5,96.5,82.5925925925926,100,84.16388888888889,B
86,97.5,100,90,100,98,97,100,100,12,83.33333333333333,100,90,100,77.6,80.1,96.99999999999999,88.99999999999999,97.8125,96.66666666666667,100,95.49375,A+
100,100,97.5,100,100,100,100,100,100,12,100,100,100,100,80,85.5,100,95,100,100,100,98.75,A+
95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,84.6,90,94,97.25,100,100,95.675,A+
100,99,100,90,100,99,100,95,99,12,100,88.88888888888889,95,95,72,78.3,90,87,99,96.66666666666667,100,93.95,A
60,100,92.5,100,100,94,100,80,100,12,75,50,45,65,62.4,75.6,78,83.99999999999999,95.8125,63.333333333333336,100,84.84375,B
87.5,92.5,100,80,95,89,95,95,90,12,83.33333333333333,77.77777777777777,65,70,55.2,79.2,69,88,93,77.03703703703702,100,85.25555555555555,B
99,83,92.5,98,100,0,0,0,0,6,33.333333333333336,16.666666666666668,0,0,29.6,12.6,37,14,59.0625,16.666666666666668,0,31.11875,F
100,100,100,100,100,100,0,100,96,11,75,77.77777777777777,55,80,64.8,58.5,81,65,99.5,77.5925925925926,100,83.93888888888888,B
82.5,100,93.5,100,100,95,80,90,100,12,66.66666666666667,88.88888888888889,70,85,63.2,63.45,79,70.5,95.125,81.29629629629629,100,84.15694444444443,B
52.5,100,82.5,90,100,94,100,75,85,12,91.66666666666667,50,42.5,85,66.8,74.25,83.5,82.5,90.8125,75.55555555555556,100,85.90208333333334,B
60,70,85,75,0,0,0,0,0,3,66.66666666666667,77.77777777777777,0,95,67.2,65.7,84,73,36.25,79.81481481481482,0,57.897222222222226,D
90,0,70,90,0,44,0,40,55,10,91.66666666666667,77.77777777777777,55,65,43.2,49.5,54,55,48.625,78.14814814814815,80,58.85972222222222,D
87.5,100,100,100,100,100,100,100,80,12,100,100,65,100,80,84.6,100,94,98.4375,100,100,98.03125,A+
92.5,100,100,70,100,100,92,100,80,12,91.66666666666667,94.44444444444444,85,85,60.8,50.85,76,56.5,95.5625,90.37037037037037,100,81.54930555555556,B-
87.5,60,100,100,95,92,79,95,100,12,58.333333333333336,66.66666666666667,70,95,60,76.5,75,85,93.5625,77.22222222222223,100,85.90208333333334,B
85,95,100,100,95,100,89,97.5,85,12,91.66666666666667,66.66666666666667,82.5,100,72,79.2,90,88,95.1875,91.3888888888889,100,92.26458333333333,A
83.5,100,0,90,70,94,76,100,100,12,100,61.111111111111114,90,95,60,67.05,75,74.5,89.1875,95,100,84.63125,B
85,100,92.5,100,95,100,90,65,100,12,66.66666666666667,100,75,85,66.4,79.2,83.00000000000001,88,95.3125,86.66666666666667,100,90.19375000000001,A
92.5,100,92.5,70,100,82,86,60,100,12,66.66666666666667,66.66666666666667,40,45,69.6,63.9,86.99999999999999,71,90.375,59.44444444444445,100,81.17916666666667,B-
92.5,97.5,95,100,91.25,100,94,100,95,12,83.33333333333333,77.77777777777777,40,95,62.4,66.6,78,73.99999999999999,96.75,85.37037037037037,100,85.93055555555556,B
86,100,100,90,100,92.5,0,90,100,12,58.333333333333336,33.333333333333336,85,90,32.8,66.6,40.99999999999999,73.99999999999999,94.8125,77.77777777777779,100,76.81041666666667,C
92.5,100,0,90,100,100,89,100,100,12,83.33333333333333,72.22222222222223,80,95,70.4,77.4,88.00000000000001,86.00000000000001,96.4375,86.1111111111111,100,90.94791666666667,A
82.5,80,95,90,100,98,92,100,85,11,91.66666666666667,88.88888888888889,60,90,68,72.9,85,81.00000000000001,92.8125,90.18518518518518,100,88.62152777777777,A-
85,42.5,0,0,0,66,0,0,80,6,83.33333333333333,66.66666666666667,0,70,52,43.2,65,48,34.1875,73.33333333333333,0,46.256249999999994,F
77.5,100,97.5,65,72,81,97,100,75,10,79.16666666666667,50,0,85,64.8,62.1,81,69,87.5,71.3888888888889,80,78.40833333333333,C+
70,80,90,100,90,0,90,90,85,12,91.66666666666667,0,75,90,36,46.8,45,52,86.875,85.55555555555556,100,70.89583333333334,C
77.5,92.5,95,90,0,95,94,100,100,10,66.66666666666667,88.88888888888889,70,45,66.4,70.2,83.00000000000001,78,93,75.18518518518518,80,83.27777777777779,B
92.5,97.5,100,100,100,99,97,100,100,12,91.66666666666667,61.111111111111114,85,70,57.6,72.9,72,81.00000000000001,99.1875,82.22222222222223,100,86.73958333333333,B+
89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.66666666666667,75,85,69.6,74.7,86.99999999999999,83,93.03125,86.66666666666667,100,89.05937499999999,A-
89,100,55,98,100,83,100,0,97,9,75,61.111111111111114,0,100,70.4,69.3,88.00000000000001,77,90.25,78.70370370370371,60,81.73055555555557,B-
65,82.5,87.5,85,95,95,100,90,80,12,91.66666666666667,77.77777777777777,75,95,70.4,78.3,88.00000000000001,87,89.375,88.14814814814815,100,89.38472222222222,A-
92.5,100,100,70,100,100,91,80,90,12,100,66.66666666666667,60,90,68.8,73.35,86,81.49999999999999,94.1875,85.55555555555556,100,88.66458333333333,A-
92.5,97.5,100,0,100,99,94,90,100,12,91.66666666666667,88.88888888888889,80,95,71.2,79.2,89,88,96.625,91.85185185185185,100,92.56527777777778,A
92.5,82,92.5,75,100,99,76,90,89,12,100,83.33333333333333,80,40,67.2,78.3,84,87,90.125,87.77777777777777,100,88.75416666666666,A-
70,78,95,0,90,97,100,80,100,11,75,27.77777777777778,50,55,64.8,63.9,81,71,88.75,60,100,79.575,B-
80,57.5,100,60,80,78,70,95,94,12,83.33333333333333,66.66666666666667,70,90,68.8,64.35,86,71.49999999999999,82.125,81.1111111111111,100,81.87916666666666,B-
92.5,100,92.5,95,100,97,97,100,85,12,58.333333333333336,50,52.5,60,68,63,85,70,96.75,56.94444444444445,100,82.06666666666666,B
82.5,100,100,100,100,98,71,100,91,12,91.66666666666667,83.33333333333333,80,95,69.6,80.1,86.99999999999999,88.99999999999999,96.4375,90,100,92.08125,A
80,0,95,0,55,0,0,0,75,7,83.33333333333333,0,0,65,53.6,60.75,67,67.5,38.125,49.444444444444436,20,51.12916666666666,D
42.5,52.5,90,72.5,100,95,88,80,85,12,83.33333333333333,88.88888888888889,42.5,80,65.6,63,81.99999999999999,70,82.875,84.07407407407408,100,81.3736111111111,B-
80,92.5,100,90,100,94,85,90,85,11,91.66666666666667,88.88888888888889,75,100,66.4,57.15,83.00000000000001,63.5,92.0625,93.51851851851852,100,84.12152777777779,B
70,100,92.5,82.5,100,99,97,90,85,12,75,83.33333333333333,80,90,69.6,80.1,86.99999999999999,88.99999999999999,93.25,84.44444444444444,100,90.29166666666666,A
90,100,100,100,95,99,100,100,100,12,91.66666666666667,100,80,90,70.4,74.7,88.00000000000001,83,99.25,93.8888888888889,100,92.20833333333334,A
70,92.5,90,85,95,99,88,90,90,12,91.66666666666667,88.88888888888889,75,90,69.6,65.7,86.99999999999999,73,91.1875,90.18518518518518,100,86.53402777777778,B+
100,100,85,90,85,89,92,95,95,12,100,94.44444444444444,80,100,79.2,81.9,99,91.00000000000001,93.25,98.14814814814815,100,95.24722222222222,A+
100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,88.00000000000001,92,96.3125,63.333333333333336,80,86.99375,B+
40,0,82.5,0,70,0,52,0,98,12,58.333333333333336,61.111111111111114,0,75,46.4,36,58,40,42.8125,64.81481481481482,100,54.16597222222222,D
